word,normalized_word,category
apple,apple,Food
banana,banana,Food
orange,orange,Food
grape,grape,Food
strawberry,strawberry,Food
pizza,pizza,Food
pasta,pasta,Food
rice,rice,Food
soup,soup,Food
salad,salad,Food
beef,beef,Food
fish,fish,Food
egg,egg,Food
milk,milk,Food
butter,butter,Food
honey,honey,Food
sugar,sugar,Food
salt,salt,Food
pepper,pepper,Food
coffee,coffee,Food
tea,tea,Food
chocolate,chocolate,Food
cookie,cookie,Food
cake,cake,Food
pie,pie,Food
sandwich,sandwich,Food
burger,burger,Food
taco,taco,Food
sushi,sushi,Food
noodle,noodle,Food
potato,potato,Food
tomato,tomato,Food
onion,onion,Food
garlic,garlic,Food
carrot,carrot,Food
corn,corn,Food
wheat,wheat,Food
oatmeal,oatmeal,Food
yogurt,yogurt,Food
bacon,bacon,Food
sausage,sausage,Food
pancake,pancake,Food
chair,chair,Objects
table,table,Objects
lamp,lamp,Objects
mirror,mirror,Objects
clock,clock,Objects
book,book,Objects
pen,pen,Objects
pencil,pencil,Objects
phone,phone,Objects
camera,camera,Objects
key,key,Objects
wallet,wallet,Objects
umbrella,umbrella,Objects
basket,basket,Objects
bottle,bottle,Objects
cup,cup,Objects
plate,plate,Objects
spoon,spoon,Objects
fork,fork,Objects
knife,knife,Objects
box,box,Objects
bag,bag,Objects
suitcase,suitcase,Objects
ladder,ladder,Objects
rope,rope,Objects
chain,chain,Objects
hammer,hammer,Objects
nail,nail,Objects
screw,screw,Objects
bucket,bucket,Objects
broom,broom,Objects
candle,candle,Objects
mattress,mattress,Objects
pillow,pillow,Objects
blanket,blanket,Objects
curtain,curtain,Objects
shelf,shelf,Objects
drawer,drawer,Objects
vase,vase,Objects
frame,frame,Objects
calendar,calendar,Objects
notebook,notebook,Objects
envelope,envelope,Objects
stamp,stamp,Objects
ticket,ticket,Objects
school,school,Places
hospital,hospital,Places
library,library,Places
airport,airport,Places
station,station,Places
museum,museum,Places
market,market,Places
restaurant,restaurant,Places
hotel,hotel,Places
church,church,Places
temple,temple,Places
castle,castle,Places
palace,palace,Places
stadium,stadium,Places
park,park,Places
garden,garden,Places
zoo,zoo,Places
farm,farm,Places
factory,factory,Places
office,office,Places
bank,bank,Places
prison,prison,Places
harbor,harbor,Places
bridge,bridge,Places
tunnel,tunnel,Places
tower,tower,Places
monument,monument,Places
cemetery,cemetery,Places
courthouse,courthouse,Places
theater,theater,Places
cinema,cinema,Places
gallery,gallery,Places
laboratory,laboratory,Places
warehouse,warehouse,Places
mall,mall,Places
plaza,plaza,Places
village,village,Places
town,town,Places
city,city,Places
capital,capital,Places
suburb,suburb,Places
campus,campus,Places
embassy,embassy,Places
shrine,shrine,Places
lighthouse,lighthouse,Places
computer,computer,Technology
internet,internet,Technology
robot,robot,Technology
satellite,satellite,Technology
drone,drone,Technology
laptop,laptop,Technology
smartphone,smartphone,Technology
software,software,Technology
algorithm,algorithm,Technology
database,database,Technology
keyboard,keyboard,Technology
monitor,monitor,Technology
printer,printer,Technology
router,router,Technology
server,server,Technology
sensor,sensor,Technology
battery,battery,Technology
circuit,circuit,Technology
processor,processor,Technology
microchip,microchip,Technology
television,television,Technology
radio,radio,Technology
telescope,telescope,Technology
microscope,microscope,Technology
calculator,calculator,Technology
headphones,headphones,Technology
speaker,speaker,Technology
charger,charger,Technology
antenna,antenna,Technology
network,network,Technology
password,password,Technology
firewall,firewall,Technology
browser,browser,Technology
application,application,Technology
virus,virus,Technology
download,download,Technology
upload,upload,Technology
bluetooth,bluetooth,Technology
wifi,wifi,Technology
hardware,hardware,Technology
interface,interface,Technology
cloud,cloud,Technology
football,football,Sports
basketball,basketball,Sports
baseball,baseball,Sports
tennis,tennis,Sports
golf,golf,Sports
swimming,swimming,Sports
boxing,boxing,Sports
wrestling,wrestling,Sports
cycling,cycling,Sports
running,running,Sports
skiing,skiing,Sports
skating,skating,Sports
surfing,surfing,Sports
volleyball,volleyball,Sports
cricket,cricket,Sports
rugby,rugby,Sports
hockey,hockey,Sports
archery,archery,Sports
fencing,fencing,Sports
gymnastics,gymnastics,Sports
marathon,marathon,Sports
triathlon,triathlon,Sports
karate,karate,Sports
judo,judo,Sports
badminton,badminton,Sports
bowling,bowling,Sports
billiards,billiards,Sports
darts,darts,Sports
rowing,rowing,Sports
sailing,sailing,Sports
diving,diving,Sports
climbing,climbing,Sports
skateboarding,skateboarding,Sports
snowboarding,snowboarding,Sports
weightlifting,weightlifting,Sports
javelin,javelin,Sports
discus,discus,Sports
hurdles,hurdles,Sports
relay,relay,Sports
referee,referee,Sports
coach,coach,Sports
trophy,trophy,Sports
medal,medal,Sports
tournament,tournament,Sports
car,car,Transportation
bicycle,bicycle,Transportation
motorcycle,motorcycle,Transportation
bus,bus,Transportation
train,train,Transportation
airplane,airplane,Transportation
helicopter,helicopter,Transportation
boat,boat,Transportation
ship,ship,Transportation
submarine,submarine,Transportation
truck,truck,Transportation
van,van,Transportation
taxi,taxi,Transportation
subway,subway,Transportation
tram,tram,Transportation
ferry,ferry,Transportation
canoe,canoe,Transportation
kayak,kayak,Transportation
scooter,scooter,Transportation
wagon,wagon,Transportation
sled,sled,Transportation
rocket,rocket,Transportation
jet,jet,Transportation
glider,glider,Transportation
balloon,balloon,Transportation
carriage,carriage,Transportation
cart,cart,Transportation
trolley,trolley,Transportation
yacht,yacht,Transportation
tractor,tractor,Transportation
ambulance,ambulance,Transportation
firetruck,firetruck,Transportation
limousine,limousine,Transportation
minivan,minivan,Transportation
spacecraft,spacecraft,Transportation
hovercraft,hovercraft,Transportation
rickshaw,rickshaw,Transportation
gondola,gondola,Transportation
raft,raft,Transportation
sailboat,sailboat,Transportation
freighter,freighter,Transportation
tanker,tanker,Transportation
moped,moped,Transportation
unicycle,unicycle,Transportation
skateboard,skateboard,Transportation
dancing,dancing,Human_Activities
singing,singing,Human_Activities
painting,painting,Human_Activities
writing,writing,Human_Activities
reading,reading,Human_Activities
cooking,cooking,Human_Activities
cleaning,cleaning,Human_Activities
shopping,shopping,Human_Activities
traveling,traveling,Human_Activities
hiking,hiking,Human_Activities
camping,camping,Human_Activities
fishing,fishing,Human_Activities
hunting,hunting,Human_Activities
gardening,gardening,Human_Activities
sewing,sewing,Human_Activities
knitting,knitting,Human_Activities
drawing,drawing,Human_Activities
sculpting,sculpting,Human_Activities
photography,photography,Human_Activities
meditation,meditation,Human_Activities
yoga,yoga,Human_Activities
prayer,prayer,Human_Activities
celebration,celebration,Human_Activities
wedding,wedding,Human_Activities
funeral,funeral,Human_Activities
festival,festival,Human_Activities
parade,parade,Human_Activities
protest,protest,Human_Activities
negotiation,negotiation,Human_Activities
debate,debate,Human_Activities
interview,interview,Human_Activities
lecture,lecture,Human_Activities
rehearsal,rehearsal,Human_Activities
performance,performance,Human_Activities
exercise,exercise,Human_Activities
stretching,stretching,Human_Activities
jogging,jogging,Human_Activities
walking,walking,Human_Activities
sleeping,sleeping,Human_Activities
eating,eating,Human_Activities
drinking,drinking,Human_Activities
laughing,laughing,Human_Activities
crying,crying,Human_Activities
arguing,arguing,Human_Activities
teaching,teaching,Human_Activities
doctor,doctor,Professions
teacher,teacher,Professions
lawyer,lawyer,Professions
engineer,engineer,Professions
nurse,nurse,Professions
farmer,farmer,Professions
chef,chef,Professions
pilot,pilot,Professions
artist,artist,Professions
musician,musician,Professions
writer,writer,Professions
scientist,scientist,Professions
dentist,dentist,Professions
plumber,plumber,Professions
electrician,electrician,Professions
carpenter,carpenter,Professions
mechanic,mechanic,Professions
architect,architect,Professions
accountant,accountant,Professions
journalist,journalist,Professions
photographer,photographer,Professions
firefighter,firefighter,Professions
librarian,librarian,Professions
professor,professor,Professions
surgeon,surgeon,Professions
veterinarian,veterinarian,Professions
pharmacist,pharmacist,Professions
therapist,therapist,Professions
translator,translator,Professions
actor,actor,Professions
dancer,dancer,Professions
comedian,comedian,Professions
athlete,athlete,Professions
judge,judge,Professions
senator,senator,Professions
president,president,Professions
banker,banker,Professions
cashier,cashier,Professions
waiter,waiter,Professions
tailor,tailor,Professions
happiness,happiness,Emotions
sadness,sadness,Emotions
anger,anger,Emotions
fear,fear,Emotions
joy,joy,Emotions
love,love,Emotions
hate,hate,Emotions
jealousy,jealousy,Emotions
pride,pride,Emotions
shame,shame,Emotions
guilt,guilt,Emotions
anxiety,anxiety,Emotions
excitement,excitement,Emotions
boredom,boredom,Emotions
loneliness,loneliness,Emotions
gratitude,gratitude,Emotions
hope,hope,Emotions
despair,despair,Emotions
surprise,surprise,Emotions
disgust,disgust,Emotions
envy,envy,Emotions
contentment,contentment,Emotions
frustration,frustration,Emotions
relief,relief,Emotions
curiosity,curiosity,Emotions
nostalgia,nostalgia,Emotions
embarrassment,embarrassment,Emotions
confidence,confidence,Emotions
confusion,confusion,Emotions
empathy,empathy,Emotions
compassion,compassion,Emotions
grief,grief,Emotions
delight,delight,Emotions
worry,worry,Emotions
calm,calm,Emotions
panic,panic,Emotions
affection,affection,Emotions
resentment,resentment,Emotions
admiration,admiration,Emotions
regret,regret,Emotions
satisfaction,satisfaction,Emotions
longing,longing,Emotions
awe,awe,Emotions
trust,trust,Emotions
disappointment,disappointment,Emotions
freedom,freedom,Abstract_Concepts
justice,justice,Abstract_Concepts
truth,truth,Abstract_Concepts
beauty,beauty,Abstract_Concepts
wisdom,wisdom,Abstract_Concepts
knowledge,knowledge,Abstract_Concepts
power,power,Abstract_Concepts
destiny,destiny,Abstract_Concepts
fate,fate,Abstract_Concepts
chaos,chaos,Abstract_Concepts
order,order,Abstract_Concepts
balance,balance,Abstract_Concepts
harmony,harmony,Abstract_Concepts
unity,unity,Abstract_Concepts
equality,equality,Abstract_Concepts
honor,honor,Abstract_Concepts
courage,courage,Abstract_Concepts
loyalty,loyalty,Abstract_Concepts
betrayal,betrayal,Abstract_Concepts
faith,faith,Abstract_Concepts
peace,peace,Abstract_Concepts
victory,victory,Abstract_Concepts
defeat,defeat,Abstract_Concepts
identity,identity,Abstract_Concepts
memory,memory,Abstract_Concepts
dream,dream,Abstract_Concepts
reality,reality,Abstract_Concepts
illusion,illusion,Abstract_Concepts
infinity,infinity,Abstract_Concepts
eternity,eternity,Abstract_Concepts
existence,existence,Abstract_Concepts
consciousness,consciousness,Abstract_Concepts
morality,morality,Abstract_Concepts
logic,logic,Abstract_Concepts
reason,reason,Abstract_Concepts
imagination,imagination,Abstract_Concepts
creativity,creativity,Abstract_Concepts
ambition,ambition,Abstract_Concepts
greed,greed,Abstract_Concepts
humility,humility,Abstract_Concepts
patience,patience,Abstract_Concepts
atom,atom,Science
molecule,molecule,Science
gravity,gravity,Science
energy,energy,Science
electricity,electricity,Science
magnetism,magnetism,Science
evolution,evolution,Science
genetics,genetics,Science
chemistry,chemistry,Science
physics,physics,Science
biology,biology,Science
ecosystem,ecosystem,Science
cell,cell,Science
bacteria,bacteria,Science
protein,protein,Science
enzyme,enzyme,Science
hormone,hormone,Science
neuron,neuron,Science
gene,gene,Science
chromosome,chromosome,Science
mutation,mutation,Science
photosynthesis,photosynthesis,Science
radiation,radiation,Science
isotope,isotope,Science
particle,particle,Science
velocity,velocity,Science
momentum,momentum,Science
friction,friction,Science
pressure,pressure,Science
density,density,Science
reaction,reaction,Science
catalyst,catalyst,Science
compound,compound,Science
element,element,Science
mixture,mixture,Science
crystal,crystal,Science
experiment,experiment,Science
hypothesis,hypothesis,Science
theory,theory,Science
planet,planet,Space
star,star,Space
galaxy,galaxy,Space
comet,comet,Space
asteroid,asteroid,Space
meteor,meteor,Space
moon,moon,Space
sun,sun,Space
orbit,orbit,Space
universe,universe,Space
nebula,nebula,Space
constellation,constellation,Space
eclipse,eclipse,Space
supernova,supernova,Space
cosmos,cosmos,Space
mars,mars,Space
venus,venus,Space
jupiter,jupiter,Space
saturn,saturn,Space
mercury,mercury,Space
neptune,neptune,Space
uranus,uranus,Space
pluto,pluto,Space
aurora,aurora,Space
meteorite,meteorite,Space
astronaut,astronaut,Space
quasar,quasar,Space
pulsar,pulsar,Space
horizon,horizon,Space
continent,continent,Geography
country,country,Geography
ocean,ocean,Geography
sea,sea,Geography
border,border,Geography
latitude,latitude,Geography
longitude,longitude,Geography
hemisphere,hemisphere,Geography
equator,equator,Geography
archipelago,archipelago,Geography
isthmus,isthmus,Geography
strait,strait,Geography
gulf,gulf,Geography
steppe,steppe,Geography
highland,highland,Geography
lowland,lowland,Geography
coastline,coastline,Geography
terrain,terrain,Geography
landscape,landscape,Geography
territory,territory,Geography
province,province,Geography
region,region,Geography
district,district,Geography
metropolis,metropolis,Geography
colony,colony,Geography
empire,empire,Geography
kingdom,kingdom,Geography
nation,nation,Geography
population,population,Geography
migration,migration,Geography
climate,climate,Geography
timezone,timezone,Geography
atlas,atlas,Geography
compass,compass,Geography
globe,globe,Geography
map,map,Geography
skyscraper,skyscraper,Architecture
cathedral,cathedral,Architecture
pyramid,pyramid,Architecture
dome,dome,Architecture
arch,arch,Architecture
column,column,Architecture
facade,facade,Architecture
balcony,balcony,Architecture
staircase,staircase,Architecture
foundation,foundation,Architecture
rooftop,rooftop,Architecture
courtyard,courtyard,Architecture
mansion,mansion,Architecture
cottage,cottage,Architecture
bungalow,bungalow,Architecture
apartment,apartment,Architecture
condominium,condominium,Architecture
fortress,fortress,Architecture
citadel,citadel,Architecture
pavilion,pavilion,Architecture
veranda,veranda,Architecture
mezzanine,mezzanine,Architecture
basement,basement,Architecture
attic,attic,Architecture
chimney,chimney,Architecture
gateway,gateway,Architecture
corridor,corridor,Architecture
terrace,terrace,Architecture
colonnade,colonnade,Architecture
spire,spire,Architecture
minaret,minaret,Architecture
pagoda,pagoda,Architecture
amphitheater,amphitheater,Architecture
aqueduct,aqueduct,Architecture
mausoleum,mausoleum,Architecture
obelisk,obelisk,Architecture
rotunda,rotunda,Architecture
gazebo,gazebo,Architecture
lobby,lobby,Architecture
atrium,atrium,Architecture
movie,movie,Entertainment
concert,concert,Entertainment
circus,circus,Entertainment
carnival,carnival,Entertainment
opera,opera,Entertainment
ballet,ballet,Entertainment
orchestra,orchestra,Entertainment
symphony,symphony,Entertainment
comedy,comedy,Entertainment
drama,drama,Entertainment
tragedy,tragedy,Entertainment
novel,novel,Entertainment
poem,poem,Entertainment
sculpture,sculpture,Entertainment
animation,animation,Entertainment
cartoon,cartoon,Entertainment
videogame,videogame,Entertainment
boardgame,boardgame,Entertainment
puzzle,puzzle,Entertainment
magic,magic,Entertainment
magician,magician,Entertainment
clown,clown,Entertainment
puppet,puppet,Entertainment
karaoke,karaoke,Entertainment
playlist,playlist,Entertainment
soundtrack,soundtrack,Entertainment
screenplay,screenplay,Entertainment
script,script,Entertainment
audience,audience,Entertainment
applause,applause,Entertainment
spotlight,spotlight,Entertainment
premiere,premiere,Entertainment
sequel,sequel,Entertainment
blockbuster,blockbuster,Entertainment
celebrity,celebrity,Entertainment
fanbase,fanbase,Entertainment
shirt,shirt,Clothing
pants,pants,Clothing
dress,dress,Clothing
skirt,skirt,Clothing
jacket,jacket,Clothing
coat,coat,Clothing
sweater,sweater,Clothing
scarf,scarf,Clothing
glove,glove,Clothing
hat,hat,Clothing
cap,cap,Clothing
shoe,shoe,Clothing
boot,boot,Clothing
sandal,sandal,Clothing
sock,sock,Clothing
belt,belt,Clothing
tie,tie,Clothing
suit,suit,Clothing
jeans,jeans,Clothing
shorts,shorts,Clothing
pajama,pajama,Clothing
robe,robe,Clothing
uniform,uniform,Clothing
veil,veil,Clothing
apron,apron,Clothing
mitten,mitten,Clothing
poncho,poncho,Clothing
cloak,cloak,Clothing
vest,vest,Clothing
blouse,blouse,Clothing
gown,gown,Clothing
tunic,tunic,Clothing
turban,turban,Clothing
sari,sari,Clothing
kimono,kimono,Clothing
sombrero,sombrero,Clothing
necklace,necklace,Clothing
bracelet,bracelet,Clothing
earring,earring,Clothing
sofa,sofa,Household_Objects
refrigerator,refrigerator,Household_Objects
oven,oven,Household_Objects
stove,stove,Household_Objects
sink,sink,Household_Objects
faucet,faucet,Household_Objects
toilet,toilet,Household_Objects
bathtub,bathtub,Household_Objects
shower,shower,Household_Objects
wardrobe,wardrobe,Household_Objects
dresser,dresser,Household_Objects
cabinet,cabinet,Household_Objects
cupboard,cupboard,Household_Objects
carpet,carpet,Household_Objects
rug,rug,Household_Objects
wallpaper,wallpaper,Household_Objects
doorknob,doorknob,Household_Objects
hinge,hinge,Household_Objects
windowsill,windowsill,Household_Objects
fireplace,fireplace,Household_Objects
thermostat,thermostat,Household_Objects
dishwasher,dishwasher,Household_Objects
microwave,microwave,Household_Objects
blender,blender,Household_Objects
toaster,toaster,Household_Objects
kettle,kettle,Household_Objects
vacuum,vacuum,Household_Objects
iron,iron,Household_Objects
hanger,hanger,Household_Objects
hamper,hamper,Household_Objects
mop,mop,Household_Objects
dustpan,dustpan,Household_Objects
showerhead,showerhead,Household_Objects
doormat,doormat,Household_Objects
chandelier,chandelier,Household_Objects
lampshade,lampshade,Household_Objects
bookshelf,bookshelf,Household_Objects
nightstand,nightstand,Household_Objects
recliner,recliner,Household_Objects
wrench,wrench,Tools
screwdriver,screwdriver,Tools
drill,drill,Tools
saw,saw,Tools
chisel,chisel,Tools
pliers,pliers,Tools
level,level,Tools
sandpaper,sandpaper,Tools
crowbar,crowbar,Tools
axe,axe,Tools
shovel,shovel,Tools
rake,rake,Tools
pickaxe,pickaxe,Tools
wheelbarrow,wheelbarrow,Tools
toolbox,toolbox,Tools
clamp,clamp,Tools
vise,vise,Tools
file,file,Tools
ruler,ruler,Tools
blowtorch,blowtorch,Tools
welder,welder,Tools
grinder,grinder,Tools
sander,sander,Tools
jackhammer,jackhammer,Tools
scaffold,scaffold,Tools
forklift,forklift,Tools
crane,crane,Tools
bulldozer,bulldozer,Tools
pulley,pulley,Tools
lever,lever,Tools
gear,gear,Tools
spanner,spanner,Tools
wood,wood,Materials
metal,metal,Materials
steel,steel,Materials
copper,copper,Materials
gold,gold,Materials
silver,silver,Materials
bronze,bronze,Materials
plastic,plastic,Materials
rubber,rubber,Materials
glass,glass,Materials
ceramic,ceramic,Materials
cotton,cotton,Materials
wool,wool,Materials
silk,silk,Materials
leather,leather,Materials
concrete,concrete,Materials
cement,cement,Materials
marble,marble,Materials
granite,granite,Materials
clay,clay,Materials
gravel,gravel,Materials
brick,brick,Materials
plywood,plywood,Materials
aluminum,aluminum,Materials
titanium,titanium,Materials
nylon,nylon,Materials
polyester,polyester,Materials
velvet,velvet,Materials
denim,denim,Materials
canvas,canvas,Materials
foam,foam,Materials
wax,wax,Materials
fiberglass,fiberglass,Materials
rain,rain,Weather
snow,snow,Weather
storm,storm,Weather
thunder,thunder,Weather
lightning,lightning,Weather
wind,wind,Weather
fog,fog,Weather
mist,mist,Weather
hail,hail,Weather
frost,frost,Weather
drought,drought,Weather
flood,flood,Weather
hurricane,hurricane,Weather
tornado,tornado,Weather
blizzard,blizzard,Weather
humidity,humidity,Weather
sunshine,sunshine,Weather
rainbow,rainbow,Weather
drizzle,drizzle,Weather
breeze,breeze,Weather
gale,gale,Weather
monsoon,monsoon,Weather
heatwave,heatwave,Weather
avalanche,avalanche,Weather
sleet,sleet,Weather
dew,dew,Weather
overcast,overcast,Weather
forecast,forecast,Weather
tree,tree,Plants
flower,flower,Plants
grass,grass,Plants
bush,bush,Plants
vine,vine,Plants
moss,moss,Plants
fern,fern,Plants
cactus,cactus,Plants
rose,rose,Plants
tulip,tulip,Plants
daisy,daisy,Plants
sunflower,sunflower,Plants
orchid,orchid,Plants
lily,lily,Plants
ivy,ivy,Plants
bamboo,bamboo,Plants
oak,oak,Plants
pine,pine,Plants
maple,maple,Plants
willow,willow,Plants
palm,palm,Plants
fungus,fungus,Plants
mushroom,mushroom,Plants
algae,algae,Plants
seed,seed,Plants
root,root,Plants
leaf,leaf,Plants
branch,branch,Plants
blossom,blossom,Plants
petal,petal,Plants
thorn,thorn,Plants
herb,herb,Plants
weed,weed,Plants
shrub,shrub,Plants
sprout,sprout,Plants
